sidewalk,la acera
health center,el centro de salud
school,la escuela
parking lot/place,el estacionamiento
statue,la estatua
fountain,la fuente
gas station,la gasolinera
post office,la oficina de correos
skyscraper,el rascacielos
bank,el banco
bar,el bar
cathedral,la catedral
outskirts,las afueras
neighborhood,el barrio
cinema,el cine
building,el edificio
church,la iglesia
park,el parque
plaza,la plaza
block,la cuadra
city map,el plano
traffic light,el semáforo
located,ubicado,ubicada
to the north,al norte
to the south,al sur
to the east,al este
to the west,al oeste
to the right,a la derecha
to the left,a la izquierda
straight ahead,todo derecho
the place,el lugar
map,el mapa
airport,el aeropuerto
bus,el autobús
airplane,el avión
boat,el barco
road,el camino
truck,el camión
minivan/minibus,la camioneta
driver's license,el carnet de conducir
highway,la carretera
car,el carro,el coche
bus station,la estación de autobuses
metro/subway,el metro
"(bus, taxi, etc) stop",la parada
bridge,el puente
train,el tren
motorcycle,la motocicleta
taxi,el taxi
traffic,el tráfico
avenue,la avenida
boulevard,el bulevar
street,la calle
farmer,el agricultor,la agricultora
forest,el bosque
farm,la finca
farm field,la huerta
lake,el lago
mountain,la montaña
property,la propiedad
town,el pueblo
river,el río
land;soil,la tierra
valley,el valley
donkey,el burro
horse,el caballo
pig,el cerdo
bnuuy,el conejo
chicken,la gallina
rooster,el gallo
cattle,el ganado
sheep,la oveja
fish,el pez,los peces
cow,la vaca
KITTY UwU Nya~ mrrrp!,¡el gato!
pet,la mascota
dog,el perro
tree,el árbol
population,la población
agricultural,agrícola 
agriculture,la agricultura
rural,rural
urban,urbano,urbana
to drive,conducir 
to cross,cruzar
to turn,doblar
to park,estacionar
to drive,manejar
to stop, parar
to go; to keep going,seguir
to travel,viajar
to take,tomar
currently,actualmente
like this/that,así
fortunately,afortunadamente
unfortunately,desafortunadamente,desgraciadamente
never,nunca
not much; little,poco
so much; so often,tanto
good,bien
bad,mal
very,mucho,muy
always,siempre
alone,solo
